label,threshold,mean_grad,high_grad_count,dispersion,low_value_ratio,extreme_std_score,contrast_entropy,band_only_accuracy
0,0.2,0.638,1.0,1.0,0.0,0.826,1.0,0.91
0,0.2,0.094,0.283,0.226,0.0,0.356,0.235,0.913
0,0.2,0.136,0.336,0.281,0.0,0.07,0.199,0.832
0,0.2,0.283,0.176,0.142,0.0,0.695,0.264,0.894
0,0.2,0.976,0.543,0.339,0.0,0.353,0.836,0.838
0,0.2,0.157,0.343,0.387,0.0,0.324,0.362,0.927
0,0.2,0.331,0.106,0.071,0.0,0.204,0.187,0.91
0,0.2,0.0,0.0,0.0,0.0,0.134,0.0,0.944
0,0.2,0.732,0.342,0.199,0.0,0.0,0.649,0.945
0,0.3,0.785,0.034,0.02,0.0,0.744,0.478,0.78
0,0.3,0.79,0.084,0.055,0.0,1.0,0.511,0.893
0,0.3,0.413,1.0,1.0,0.0,0.826,1.0,0.91
0,0.3,0.0,0.231,0.188,0.0,0.356,0.235,0.913
0,0.3,0.081,0.346,0.286,0.0,0.07,0.199,0.832
0,0.3,0.221,0.104,0.089,0.0,0.695,0.264,0.894
0,0.3,1.0,0.192,0.127,0.0,0.353,0.836,0.838
0,0.3,0.092,0.216,0.251,0.0,0.324,0.362,0.927
0,0.3,0.453,0.045,0.035,0.0,0.204,0.187,0.91
0,0.3,0.252,0.0,0.0,0.0,0.134,0.0,0.944
0,0.3,0.599,0.165,0.105,0.0,0.0,0.649,0.945
0,0.4,0.348,0.005,0.005,0.0,0.744,0.478,0.78
0,0.4,0.306,0.012,0.009,0.0,1.0,0.511,0.893
0,0.4,0.16,1.0,1.0,0.0,0.826,1.0,0.91
0,0.4,0.0,0.145,0.117,0.0,0.356,0.235,0.913
0,0.4,0.025,0.297,0.24,0.0,0.07,0.199,0.832
0,0.4,0.026,0.042,0.036,0.0,0.695,0.264,0.894
0,0.4,0.507,0.047,0.031,0.0,0.353,0.836,0.838
0,0.4,0.031,0.124,0.145,0.0,0.324,0.362,0.927
0,0.4,0.346,0.009,0.013,0.0,0.204,0.187,0.91
0,0.4,1.0,0.0,0.0,0.0,0.134,0.0,0.944
0,0.4,0.308,0.056,0.036,0.0,0.0,0.649,0.945
0,0.5,0.531,0.009,0.004,0.0,0.744,0.478,0.78
0,0.5,0.0,0.0,0.0,0.0,1.0,0.511,0.893
0,0.5,0.361,1.0,1.0,0.0,0.826,1.0,0.91
0,0.5,0.217,0.098,0.092,0.0,0.356,0.235,0.913
0,0.5,0.269,0.364,0.295,0.0,0.07,0.199,0.832
0,0.5,0.431,0.018,0.013,0.0,0.695,0.264,0.894
0,0.5,1.0,0.004,0.0,0.0,0.353,0.836,0.838
0,0.5,0.289,0.089,0.1,0.0,0.324,0.362,0.927
0,0.5,0.0,0.0,0.0,0.0,0.204,0.187,0.91
0,0.5,0.0,0.0,0.0,0.0,0.134,0.0,0.944
0,0.5,0.576,0.018,0.011,0.0,0.0,0.649,0.945
0,0.6,0.0,0.0,0.0,0.0,0.744,0.478,0.78
0,0.6,0.0,0.0,0.0,0.0,1.0,0.511,0.893
0,0.6,0.553,1.0,1.0,0.0,0.826,1.0,0.91
0,0.6,0.496,0.035,0.027,0.0,0.356,0.235,0.913
0,0.6,0.391,0.426,0.33,0.0,0.07,0.199,0.832
0,0.6,1.0,0.017,0.007,0.0,0.695,0.264,0.894
0,0.6,0.0,0.0,0.0,0.0,0.353,0.836,0.838
0,0.6,0.49,0.078,0.083,0.0,0.324,0.362,0.927
0,0.6,0.0,0.0,0.0,0.0,0.204,0.187,0.91
0,0.6,0.0,0.0,0.0,0.0,0.134,0.0,0.944
0,0.6,0.0,0.0,0.0,0.0,0.0,0.649,0.945
0,0.7,0.0,0.0,0.0,0.0,0.744,0.478,0.78
0,0.7,0.0,0.0,0.0,0.0,1.0,0.511,0.893
0,0.7,0.775,1.0,1.0,0.0,0.826,1.0,0.91
0,0.7,0.532,0.017,0.0,0.0,0.356,0.235,0.913
0,0.7,0.625,0.407,0.319,0.0,0.07,0.199,0.832
0,0.7,0.0,0.0,0.0,0.0,0.695,0.264,0.894
0,0.7,0.0,0.0,0.0,0.0,0.353,0.836,0.838
0,0.7,1.0,0.051,0.061,0.0,0.324,0.362,0.927
0,0.7,0.0,0.0,0.0,0.0,0.204,0.187,0.91
0,0.7,0.0,0.0,0.0,0.0,0.134,0.0,0.944
0,0.7,0.0,0.0,0.0,0.0,0.0,0.649,0.945
0,0.8,0.0,0.0,0.0,0.0,0.744,0.478,0.78
0,0.8,0.0,0.0,0.0,0.0,1.0,0.511,0.893
0,0.8,0.703,1.0,1.0,0.0,0.826,1.0,0.91
0,0.8,0.532,0.029,0.0,0.0,0.356,0.235,0.913
0,0.8,0.584,0.343,0.273,0.0,0.07,0.199,0.832
0,0.8,0.0,0.0,0.0,0.0,0.695,0.264,0.894
0,0.8,0.0,0.0,0.0,0.0,0.353,0.836,0.838
0,0.8,1.0,0.086,0.102,0.0,0.324,0.362,0.927
0,0.8,0.0,0.0,0.0,0.0,0.204,0.187,0.91
0,0.8,0.0,0.0,0.0,0.0,0.134,0.0,0.944
0,0.8,0.0,0.0,0.0,0.0,0.0,0.649,0.945
0,0.9,0.0,0.0,0.0,0.0,0.744,0.478,0.78
0,0.9,0.0,0.0,0.0,0.0,1.0,0.511,0.893
0,0.9,1.0,1.0,1.0,0.0,0.826,1.0,0.91
0,0.9,0.0,0.0,0.0,0.0,0.356,0.235,0.913
0,0.9,0.726,0.333,0.254,0.0,0.07,0.199,0.832
0,0.9,0.0,0.0,0.0,0.0,0.695,0.264,0.894
0,0.9,0.0,0.0,0.0,0.0,0.353,0.836,0.838
0,0.9,0.922,0.048,0.0,0.0,0.324,0.362,0.927
0,0.9,0.0,0.0,0.0,0.0,0.204,0.187,0.91
0,0.9,0.0,0.0,0.0,0.0,0.134,0.0,0.944
0,0.9,0.0,0.0,0.0,0.0,0.0,0.649,0.945
0,1,0.0,0.0,0.0,0.0,0.744,0.478,0.78
0,1,0.0,0.0,0.0,0.0,1.0,0.511,0.893
0,1,1.0,1.0,1.0,0.0,0.826,1.0,0.91
0,1,0.0,0.0,0.0,0.0,0.356,0.235,0.913
0,1,0.827,0.167,0.112,0.0,0.07,0.199,0.832
0,1,0.0,0.0,0.0,0.0,0.695,0.264,0.894
0,1,0.0,0.0,0.0,0.0,0.353,0.836,0.838
0,1,0.0,0.0,0.0,0.0,0.324,0.362,0.927
0,1,0.0,0.0,0.0,0.0,0.204,0.187,0.91
0,1,0.0,0.0,0.0,0.0,0.134,0.0,0.944
0,1,0.0,0.0,0.0,0.0,0.0,0.649,0.945
0,0,0.0,0.47,0.361,0.0,1.0,0.065,0.78
0,0,0.279,1.0,1.0,0.114,0.831,1.0,0.893
0,0,1.0,0.0,0.0,0.192,0.645,0.076,0.91
0,0,0.313,0.432,0.408,0.634,0.747,0.324,0.913
0,0,0.491,0.394,0.429,0.967,0.489,0.401,0.832
0,0,0.176,0.317,0.281,1.0,0.715,0.107,0.894
0,0,0.527,0.74,0.597,1.0,0.262,0.895,0.838
0,0,0.215,0.43,0.634,1.0,0.304,0.343,0.927
0,0,0.022,0.385,0.337,1.0,0.174,0.0,0.91
0,0,0.783,0.571,0.8,1.0,0.112,0.908,0.944
0,0,0.079,0.542,0.461,1.0,0.0,0.138,0.945
0,0.1,0.513,0.0,0.0,0.0,1.0,0.065,0.78
0,0.1,0.364,0.685,0.535,0.114,0.831,1.0,0.893
0,0.1,1.0,0.276,0.333,0.192,0.645,0.076,0.91
0,0.1,0.587,0.332,0.307,0.634,0.747,0.324,0.913
0,0.1,0.694,0.451,0.42,0.967,0.489,0.401,0.832
0,0.1,0.307,0.239,0.228,1.0,0.715,0.107,0.894
0,0.1,0.549,0.854,0.579,1.0,0.262,0.895,0.838
0,0.1,0.0,0.607,0.664,1.0,0.304,0.343,0.927
0,0.1,0.031,0.249,0.215,1.0,0.174,0.0,0.91
0,0.1,0.653,1.0,1.0,1.0,0.112,0.908,0.944
0,0.1,0.461,0.244,0.176,1.0,0.0,0.138,0.945
0,0.2,0.792,0.0,0.0,0.0,1.0,0.065,0.78
0,0.2,0.608,0.086,0.073,0.114,0.831,1.0,0.893
0,0.2,0.58,0.418,0.423,0.192,0.645,0.076,0.91
0,0.2,0.767,0.196,0.174,0.634,0.747,0.324,0.913
0,0.2,0.683,0.355,0.319,0.967,0.489,0.401,0.832
0,0.2,0.421,0.178,0.158,1.0,0.715,0.107,0.894
0,0.2,1.0,0.232,0.165,1.0,0.262,0.895,0.838
0,0.2,0.0,0.489,0.504,1.0,0.304,0.343,0.927
0,0.2,0.187,0.169,0.145,1.0,0.174,0.0,0.91
0,0.2,0.349,1.0,1.0,1.0,0.112,0.908,0.944
0,0.2,0.733,0.137,0.099,1.0,0.0,0.138,0.945
0,0.3,0.794,0.0,0.0,0.0,1.0,0.065,0.78
0,0.3,0.704,0.008,0.008,0.114,0.831,1.0,0.893
0,0.3,0.368,0.517,0.527,0.192,0.645,0.076,0.91
0,0.3,0.898,0.088,0.076,0.634,0.747,0.324,0.913
0,0.3,0.619,0.296,0.263,0.967,0.489,0.401,0.832
0,0.3,0.403,0.118,0.11,1.0,0.715,0.107,0.894
0,0.3,1.0,0.039,0.03,1.0,0.262,0.895,0.838
0,0.3,0.0,0.403,0.411,1.0,0.304,0.343,0.927
0,0.3,0.39,0.102,0.087,1.0,0.174,0.0,0.91
0,0.3,0.254,1.0,1.0,1.0,0.112,0.908,0.944
0,0.3,0.929,0.065,0.046,1.0,0.0,0.138,0.945
0,0.4,0.0,0.0,0.0,0.0,1.0,0.065,0.78
0,0.4,0.0,0.0,0.0,0.114,0.831,1.0,0.893
0,0.4,0.315,0.586,0.595,0.192,0.645,0.076,0.91
0,0.4,0.46,0.026,0.021,0.634,0.747,0.324,0.913
0,0.4,0.377,0.213,0.192,0.967,0.489,0.401,0.832
0,0.4,0.317,0.066,0.06,1.0,0.715,0.107,0.894
0,0.4,1.0,0.003,0.002,1.0,0.262,0.895,0.838
0,0.4,0.216,0.292,0.297,1.0,0.304,0.343,0.927
0,0.4,0.336,0.066,0.055,1.0,0.174,0.0,0.91
0,0.4,0.285,1.0,1.0,1.0,0.112,0.908,0.944
0,0.4,0.586,0.022,0.015,1.0,0.0,0.138,0.945
0,0.5,0.0,0.0,0.0,0.0,1.0,0.065,0.78
0,0.5,0.0,0.0,0.0,0.114,0.831,1.0,0.893
0,0.5,0.504,0.747,0.775,0.192,0.645,0.076,0.91
0,0.5,0.466,0.007,0.005,0.634,0.747,0.324,0.913
0,0.5,0.559,0.148,0.139,0.967,0.489,0.401,0.832
0,0.5,0.398,0.046,0.048,1.0,0.715,0.107,0.894
0,0.5,0.0,0.0,0.0,1.0,0.262,0.895,0.838
